,Germany,1.00
,USA,0.97
,China,0.96
,France,0.94
,Austria,0.94
,Jersey,0.92
,Luxembourg,0.88
,Denmark,0.85
,United Kingdom,0.84
,Ukraine,0.83
,Lichenstein,0.78
,Italy,0.74
,Norway,0.72
,Finland,0.71
,Kazakhstan,0.68
,Ireland,0.66
,Australia,0.65
,Gibraltar,0.65
,Lebanon,0.65
,Bahrain,0.63
,Slovakia,0.63
,Cyprus,0.62
,Croatia,0.61
,Lithuania,0.59
,Puerto Rico,0.58
,Switzerland,0.58
,Portugal,0.58
,Colombia,0.58
,Venezuela,0.57
,Mexico,0.57
,Russia,0.57
,Malaysia,0.56
,Virgin Islands,0.56
,Hungary,0.55
,Trinidad,0.55
,Canada,0.55
,Latvia,0.54
,Netherlands,0.53
,Estonia,0.52
,Jordan,0.50
,Egypt,0.50
,Bangladesh,0.50
,New Zealand,0.49
,Belgium,0.49
,Cayman Islands,0.48
,Thailand,0.48
,Indonesia,0.44
,Mauritius,0.44
,India,0.43
,Isle of Man,0.43
,Spain,0.41
,Tajikistan,0.41
,Romania,0.40
,Burkina Faso,0.39
,Myanmar,0.38
,Hong Kong,0.38
,Korea,0.38
,Sri Lanka,0.38
,Dominican Rep.,0.37
,Maldives,0.37
,Surinam,0.37
,Vanuatu,0.37
,Bosna-HZ,0.36
,Kosovo,0.35
,Tunisia,0.34
,Fiji,0.34
,Belize,0.34
,Macao,0.33
,Guyana,0.32
,Morocoo,0.32
,Nepal,0.31
,Slovenia,0.31
,Yemen,0.30
,Peru,0.28
,Brazil,0.28
,Panama,0.27
,Seychelles,0.26
,Gambia,0.26
,Montenegro,0.26
,Kyrgyz,0.25
,Bhutan,0.25
,Philippines,0.25
,Kenya,0.24
,Guernsey,0.24
,Qatar,0.24
,Iceland,0.24
,Isreal,0.23
,Honduras,0.23
,Syria,0.23
,Jamaica,0.23
,Armenia,0.22
,Moldova,0.22
,Madacascar,0.22
,Guatemala,0.20
,Poland,0.19
,Nicaragua,0.19
,Samoa,0.18
,Ecuador,0.17
,Costa Rica,0.17
,Chile,0.17
,United Arab Emirates,0.16
,Cook Islands,0.16
,Kuwait,0.15
,South Africa,0.14
,Pakistan,0.14
,Serbia,0.14
,Uganda,0.13
,Paraguay,0.12
,Turkey,0.12
,Oman,0.12
,El Salvador,0.12
,Uruguay,0.12
,Greece,0.11
,Argentina,0.10
,Belarus,0.10
,Malta,0.07
,Taiwan,0.07
,Bulgaria,0.00
